name,authors,publisher
O diário de Anne Frank,Mirjam Pressler,Record
O diário de Anne Frank,Otto H. Frank,Record
Deixados Para Trás,Jerry B. Jenkins,United Press
Deixados Para Trás,Tim LaHaye,United Press
Jardim secreto,Johanna Basford,Sextante
Floresta encantada,Johanna Basford,Sextante
Philia,Padre Marcelo,Principium
Nada a perder 3,Edir Macedo,Planeta do Brasil
Ansiedade: Como enfrentar o mal do século,Augusto Cury,Saraiva
O Pequeno Príncipe,Antoine de Saint-Exupéry,Nova Fronteira
Eu fico loko,Christian Figueiredo de Caldas,Novas Páginas
Não se apega não,Isabela Freitas,Intrínseca
Se eu ficar,Gayle Forman,Novo Conceito
A herdeira,Kiera Cass,Seguinte
Cidades de papel,John Green,Intrínseca
Muito mais que 5inco minutos,Kéfera Buchmann,Paralela
Bela cozinha,Bela Gil,Globo Estilo
Diário de um banana - Caindo na estrada,Jeff Kinney,Vergara e Riba
Não se iluda não,Isabela Freitas,Intrínseca
A mágica da arrumação,Marie Kondo,Sextante
Geração de valor,Flávio Augusto da Silva,Sextante
Para onde ela foi,Gayle Forman,Novo Conceito
Toda luz que não podemos ver,Anthony Doerr,Intrínseca
